Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto
21-03-2023,6.095,6.4544,6.0141,6.3855,6.2336,598222.8232,4117,Polkadot
22-03-2023,6.3776,6.5267,5.9168,6.0643,6.2352,592135.2598,6380,Polkadot
23-03-2023,6.0539,6.4273,6.0061,6.324,6.2564,337191.048,3611,Polkadot
24-03-2023,6.3277,6.3417,5.9615,6.0241,6.1155,389057.6206,3010,Polkadot
25-03-2023,6.0307,6.0814,5.8392,5.9101,5.9877,175034.3816,1391,Polkadot
26-03-2023,5.9073,6.1068,5.888,6.0691,6.0115,132895.9649,1230,Polkadot
27-03-2023,6.0513,6.11,5.7539,5.8744,5.9107,344729.7391,3322,Polkadot
28-03-2023,5.8681,6.1075,5.7919,6.0597,5.9454,149570.8743,1994,Polkadot
29-03-2023,6.0642,6.2808,6.0522,6.1831,6.1995,229730.327,3058,Polkadot
30-03-2023,6.184,6.3076,6.0283,6.1189,6.1617,375338.6162,4998,Polkadot
31-03-2023,6.119,6.3802,6.1032,6.343,6.2422,352435.9739,4785,Polkadot
01-04-2023,6.3427,6.3907,6.1928,6.3511,6.2767,137442.0683,3687,Polkadot
02-04-2023,6.3511,6.4402,6.1834,6.264,6.3362,167328.7638,4020,Polkadot
03-04-2023,6.2667,6.499,6.1,6.424,6.2822,288437.0096,5737,Polkadot
04-04-2023,6.4188,6.5298,6.3691,6.4385,6.4546,304762.0384,5294,Polkadot
05-04-2023,6.4408,6.582,6.3246,6.4073,6.4713,183382.1908,4742,Polkadot
06-04-2023,6.4092,6.4126,6.2617,6.281,6.3401,221290.2077,4672,Polkadot
07-04-2023,6.2791,6.3184,6.139,6.1782,6.2037,179411.0574,4503,Polkadot
08-04-2023,6.1789,6.2326,6.1,6.133,6.1667,93308.98039,3736,Polkadot
09-04-2023,6.1333,6.259,6.1004,6.2132,6.1589,63012.34322,3773,Polkadot
10-04-2023,6.2125,6.3132,6.1229,6.2928,6.1927,294386.8727,4894,Polkadot
11-04-2023,6.2952,6.4938,6.2805,6.4208,6.4255,422305.235,5006,Polkadot
12-04-2023,6.4282,6.4704,6.2226,6.4045,6.3507,280754.4488,4520,Polkadot
13-04-2023,6.4046,6.6559,6.3537,6.6406,6.5335,438495.5428,5249,Polkadot
14-04-2023,6.6419,6.8469,6.5452,6.7344,6.7237,533878.675,6628,Polkadot
15-04-2023,6.7335,6.874,6.6416,6.8041,6.7564,205696.1827,4618,Polkadot
16-04-2023,6.8041,6.8779,6.6777,6.8288,6.7766,217563.3835,4103,Polkadot
17-04-2023,6.8288,6.8289,6.6327,6.6983,6.7053,387297.4113,5361,Polkadot
18-04-2023,6.6983,6.9837,6.5747,6.9269,6.875,343989.8503,5606,Polkadot
19-04-2023,6.9194,6.9194,6.2469,6.3179,6.5026,438105.5167,7426,Polkadot
20-04-2023,6.3088,6.4356,6.0634,6.1082,6.3095,717675.3591,6777,Polkadot
21-04-2023,6.1051,6.1687,5.7843,5.8494,5.9756,438507.2293,6159,Polkadot
22-04-2023,5.8502,5.9774,5.8227,5.95,5.9157,135539.8451,3383,Polkadot
23-04-2023,5.95,5.9731,5.7672,5.905,5.859,255052.751,3593,Polkadot
24-04-2023,5.9054,6.0167,5.8049,5.8838,5.9123,238098.8749,3373,Polkadot
25-04-2023,5.8897,6.012,5.7807,5.9981,5.8581,285816.2881,3488,Polkadot
26-04-2023,5.9983,6.2169,5.5987,5.8519,5.974,420568.7071,5456,Polkadot
27-04-2023,5.8475,6.0468,5.8353,5.9693,5.937,338989.0762,3995,Polkadot
28-04-2023,5.9705,5.9793,5.7829,5.9499,5.901,318820.9974,3388,Polkadot
29-04-2023,5.9499,6.0578,5.9228,6.0437,5.9854,219342.6912,2825,Polkadot
30-04-2023,6.0434,6.0881,5.85,5.8753,6.009,201256.5788,2758,Polkadot
01-05-2023,5.8797,5.9067,5.5954,5.665,5.6982,350418.4711,3904,Polkadot
02-05-2023,5.657,5.7621,5.625,5.7148,5.6861,171191.2042,2699,Polkadot
03-05-2023,5.7136,5.8094,5.5617,5.7776,5.6534,172422.7476,3100,Polkadot
04-05-2023,5.7786,5.7995,5.6221,5.6737,5.721,121767.8958,2584,Polkadot
05-05-2023,5.6722,5.9006,5.6701,5.8482,5.797,329021.4378,2731,Polkadot
06-05-2023,5.8552,5.898,5.5921,5.6504,5.7403,168013.3656,2117,Polkadot
07-05-2023,5.6457,5.7052,5.6143,5.6349,5.6569,90313.56632,1539,Polkadot
08-05-2023,5.6349,5.653,5.1786,5.3728,5.3953,367691.3289,4554,Polkadot
09-05-2023,5.3688,5.4158,5.2953,5.3273,5.3357,158433.9331,3248,Polkadot
10-05-2023,5.3293,5.5166,5.2239,5.4648,5.4091,367536.4627,5349,Polkadot
11-05-2023,5.4701,5.4701,5.1847,5.2777,5.306,336508.6077,4576,Polkadot
12-05-2023,5.2789,5.3503,5.1201,5.3432,5.2341,502642.0986,5878,Polkadot
13-05-2023,5.3468,5.3996,5.3164,5.3473,5.3485,242543.6558,2752,Polkadot
14-05-2023,5.3509,5.4449,5.3124,5.3483,5.3948,135551.3723,2517,Polkadot
15-05-2023,5.3511,5.4319,5.2755,5.3124,5.3792,180070.8042,3179,Polkadot
16-05-2023,5.3187,5.3365,5.2339,5.2968,5.2799,109426.9005,2752,Polkadot
17-05-2023,5.3043,5.4342,5.2211,5.419,5.3263,231883.1211,3271,Polkadot
18-05-2023,5.4232,5.4658,5.25,5.337,5.363,214315.6397,3260,Polkadot
19-05-2023,5.3354,5.3957,5.3135,5.3724,5.356,232995.4457,2848,Polkadot
20-05-2023,5.367,5.4447,5.331,5.4105,5.4096,120363.6175,2216,Polkadot
21-05-2023,5.4095,5.4329,5.254,5.2737,5.3303,96551.55639,2279,Polkadot
22-05-2023,5.2757,5.3394,5.2296,5.3111,5.2889,267784.2439,4250,Polkadot
23-05-2023,5.3146,5.4479,5.2906,5.3992,5.3813,159081.7847,2681,Polkadot
24-05-2023,5.3995,5.4003,5.2,5.254,5.2753,220805.3895,3370,Polkadot
25-05-2023,5.254,5.2979,5.1534,5.2438,5.2367,307040.6504,4801,Polkadot
26-05-2023,5.2433,5.2717,5.191,5.2469,5.2391,276267.6076,3300,Polkadot
27-05-2023,5.2469,5.3761,5.2345,5.3377,5.2971,75138.69038,2355,Polkadot
28-05-2023,5.3393,5.5609,5.3189,5.5013,5.4223,220251.2942,2955,Polkadot
29-05-2023,5.5014,5.5393,5.4095,5.4587,5.4745,247415.9817,3285,Polkadot
30-05-2023,5.4589,5.53,5.4121,5.4428,5.473,150336.4062,3214,Polkadot
31-05-2023,5.4428,5.461,5.2701,5.3161,5.3272,240633.3269,3571,Polkadot
01-06-2023,5.3161,5.3337,5.1949,5.2081,5.225,233025.6709,3511,Polkadot
02-06-2023,5.2081,5.3063,5.1613,5.2774,5.2516,211196.4019,3666,Polkadot
03-06-2023,5.2769,5.3373,5.2424,5.3373,5.2832,112174.4036,2354,Polkadot
04-06-2023,5.3373,5.3885,5.3134,5.3149,5.3493,195792.2971,2796,Polkadot
05-06-2023,5.3146,5.3231,4.9059,5.067,5.1061,374557.5608,5720,Polkadot
06-06-2023,5.0657,5.2617,4.9871,5.2012,5.1545,281950.7972,5404,Polkadot
07-06-2023,5.2011,5.2109,4.9824,5.0227,5.0468,286182.6772,4089,Polkadot
08-06-2023,5.0224,5.0581,4.9817,5.0229,5.0216,89079.30141,2075,Polkadot
09-06-2023,5.0229,5.066,4.9313,4.9797,5.0154,267427.311,2886,Polkadot
10-06-2023,4.9789,5.0312,4.22,4.524,4.4537,996824.2698,10980,Polkadot
11-06-2023,4.524,4.553,4.4324,4.5247,4.4792,244861.5722,3265,Polkadot
12-06-2023,4.5247,4.5573,4.4188,4.5323,4.5039,247988.223,3257,Polkadot
13-06-2023,4.5347,4.7137,4.4984,4.6243,4.5944,210263.2616,3199,Polkadot
14-06-2023,4.624,4.7984,4.5087,4.5669,4.6405,234775.4928,3450,Polkadot
15-06-2023,4.5613,4.6139,4.2706,4.374,4.4009,338522.4456,3936,Polkadot
16-06-2023,4.374,4.4592,4.2728,4.4176,4.3828,153514.673,2886,Polkadot
17-06-2023,4.4175,4.5602,4.394,4.5279,4.501,72981.16727,2442,Polkadot
18-06-2023,4.5263,4.6624,4.4809,4.5354,4.5778,155819.1262,3133,Polkadot
19-06-2023,4.5357,4.5848,4.4367,4.5274,4.5115,166350.9521,2881,Polkadot
20-06-2023,4.5242,4.673,4.3725,4.66,4.5785,410258.9517,2946,Polkadot
21-06-2023,4.6599,4.8588,4.6357,4.8229,4.7418,680255.8765,3991,Polkadot
22-06-2023,4.825,4.9713,4.757,4.8343,4.8726,353619.3267,2603,Polkadot
23-06-2023,4.8286,5.3899,4.8207,5.1006,5.0248,370206.7388,2883,Polkadot
24-06-2023,5.1007,5.1363,4.9131,5.0082,5.0212,228800.2702,2174,Polkadot
25-06-2023,5.011,5.2418,5.0031,5.1962,5.1626,237133.8413,4394,Polkadot
26-06-2023,5.1976,5.2334,5.01,5.0218,5.144,336956.2096,4688,Polkadot
27-06-2023,5.0231,5.1497,5.011,5.0935,5.0973,112678.8582,2792,Polkadot
28-06-2023,5.0959,5.096,4.7512,4.8757,4.9266,302088.0552,4081,Polkadot
29-06-2023,4.877,5.226,4.8731,4.9825,5.031,517464.4146,4663,Polkadot
30-06-2023,4.9844,5.1963,4.7905,5.1789,5.0538,626610.2944,5837,Polkadot
01-07-2023,5.179,5.3666,5.1151,5.3487,5.2814,251564.6156,4037,Polkadot
02-07-2023,5.3474,5.5251,5.2291,5.5007,5.3489,230467.9798,4335,Polkadot
03-07-2023,5.4975,5.6281,5.3812,5.4254,5.4854,347464.404,4307,Polkadot
